geo_id,total_pop,median_age,male_pop,female_pop,white_pop,black_pop,hispanic_pop,asian_pop,graduate_professional_degree,less_than_high_school_graduate,median_income,poverty,unemployed_pop,civilian_labor_force,occupied_housing_units,owner_occupied_housing_units,housing_units_renter_occupied,vacant_housing_units,median_rent,median_year_structure_built,gini_index
44005040800,2271.0,48.2,926.0,1345.0,1891.0,150.0,112.0,0.0,491.0,118.0,,189.0,93.0,1249.0,1186.0,443.0,743.0,520.0,1413.0,1950.0,0.4958
44005040900,4932.0,35.4,2151.0,2781.0,4390.0,124.0,312.0,28.0,737.0,53.0,,235.0,273.0,2611.0,1617.0,914.0,703.0,605.0,1434.0,1956.0,0.5531
44005041300,5494.0,56.3,2767.0,2727.0,5133.0,36.0,38.0,236.0,1001.0,131.0,,185.0,139.0,2565.0,2387.0,2056.0,331.0,765.0,1240.0,1978.0,0.4392
44005041400,3496.0,58.7,1891.0,1605.0,3424.0,0.0,58.0,14.0,650.0,54.0,,146.0,120.0,1818.0,1556.0,1236.0,320.0,895.0,1462.0,1962.0,0.5529
44005041601,3595.0,43.6,1890.0,1705.0,3367.0,0.0,186.0,0.0,110.0,294.0,,375.0,115.0,1931.0,1493.0,815.0,678.0,74.0,850.0,1952.0,0.4484
44005041602,4401.0,48.6,2250.0,2151.0,4101.0,55.0,216.0,14.0,591.0,164.0,,148.0,97.0,2449.0,1852.0,1516.0,336.0,394.0,933.0,1959.0,0.4215
44005041701,3460.0,52.6,1756.0,1704.0,3078.0,80.0,107.0,144.0,389.0,177.0,,208.0,81.0,2054.0,1504.0,1240.0,264.0,147.0,825.0,1989.0,0.4028
44005041702,4274.0,50.7,2006.0,2268.0,4252.0,22.0,0.0,0.0,325.0,278.0,,130.0,353.0,2620.0,1603.0,1482.0,121.0,495.0,749.0,1980.0,0.3427
44007000101,4194.0,27.2,2022.0,2172.0,1782.0,714.0,1469.0,41.0,79.0,745.0,,924.0,310.0,2153.0,1224.0,517.0,707.0,107.0,834.0,0.0,0.4112
44007000102,5746.0,38.7,2974.0,2772.0,985.0,550.0,3717.0,360.0,257.0,623.0,,1154.0,144.0,3076.0,1785.0,883.0,902.0,78.0,865.0,0.0,0.4391
44007001200,3752.0,28.5,1771.0,1981.0,685.0,444.0,2399.0,130.0,140.0,567.0,,1359.0,176.0,1552.0,1281.0,211.0,1070.0,106.0,570.0,1941.0,0.4632
44007001400,7268.0,29.3,3567.0,3701.0,468.0,1964.0,3922.0,544.0,79.0,1593.0,,2423.0,163.0,2610.0,2329.0,304.0,2025.0,279.0,788.0,1956.0,0.3906
44007001602,5873.0,30.8,3106.0,2767.0,571.0,66.0,4970.0,109.0,187.0,935.0,,1313.0,207.0,3289.0,1693.0,825.0,868.0,193.0,829.0,0.0,0.408
44007001800,6312.0,31.3,2880.0,3432.0,771.0,1357.0,3621.0,250.0,39.0,803.0,,2436.0,447.0,3163.0,2187.0,901.0,1286.0,451.0,551.0,1962.0,0.406
44007002000,6270.0,21.8,2387.0,3883.0,2018.0,1219.0,2639.0,118.0,117.0,454.0,,1794.0,424.0,2950.0,1939.0,743.0,1196.0,167.0,772.0,1965.0,0.4701
44007002101,2610.0,36.0,1322.0,1288.0,1078.0,306.0,1166.0,0.0,185.0,239.0,,285.0,72.0,1498.0,1060.0,694.0,366.0,146.0,955.0,1942.0,0.3888
44007002102,6742.0,36.0,3472.0,3270.0,1169.0,1407.0,3805.0,219.0,155.0,615.0,,962.0,110.0,3421.0,2267.0,1379.0,888.0,212.0,807.0,0.0,0.358
44007002200,4792.0,27.2,2643.0,2149.0,475.0,662.0,3244.0,157.0,119.0,562.0,,717.0,138.0,1993.0,1437.0,539.0,898.0,485.0,807.0,0.0,0.4378
44007002300,4590.0,49.4,2134.0,2456.0,3619.0,380.0,362.0,153.0,516.0,138.0,,467.0,222.0,2256.0,1833.0,1021.0,812.0,550.0,979.0,0.0,0.4111
44007002400,8401.0,25.2,3793.0,4608.0,5538.0,592.0,1800.0,191.0,974.0,198.0,,482.0,95.0,4231.0,2255.0,1372.0,883.0,61.0,1193.0,1950.0,0.4615
44007002500,3113.0,31.8,1914.0,1199.0,1419.0,429.0,1130.0,95.0,595.0,128.0,,662.0,89.0,1965.0,1356.0,287.0,1069.0,495.0,1202.0,0.0,0.4106
44007002700,5063.0,33.0,2147.0,2916.0,1087.0,1122.0,2483.0,291.0,109.0,670.0,,1756.0,238.0,1919.0,1877.0,546.0,1331.0,347.0,544.0,1960.0,0.5208
44007003100,4463.0,35.1,2029.0,2434.0,2793.0,721.0,401.0,118.0,705.0,495.0,,898.0,107.0,2278.0,2190.0,478.0,1712.0,212.0,937.0,0.0,0.6607
44007003200,3276.0,31.9,1594.0,1682.0,2263.0,261.0,433.0,160.0,848.0,84.0,,514.0,64.0,1914.0,1305.0,601.0,704.0,188.0,1203.0,0.0,0.4576
44007003300,4325.0,42.7,2012.0,2313.0,3296.0,339.0,188.0,196.0,1308.0,244.0,,334.0,97.0,2540.0,2033.0,1328.0,705.0,196.0,1237.0,0.0,0.4117
44007003400,4733.0,39.9,2228.0,2505.0,3683.0,2.0,298.0,604.0,1973.0,51.0,,62.0,60.0,2397.0,1944.0,1474.0,470.0,121.0,1559.0,0.0,0.4928
44007003500,4506.0,35.3,1979.0,2527.0,3462.0,101.0,242.0,634.0,2011.0,85.0,,673.0,48.0,2563.0,2197.0,771.0,1426.0,119.0,1337.0,0.0,0.5158
44007003602,5591.0,20.1,2505.0,3086.0,3644.0,313.0,474.0,913.0,623.0,15.0,,319.0,116.0,2579.0,626.0,439.0,187.0,150.0,1712.0,0.0,0.5677
44007003700,3314.0,28.7,1493.0,1821.0,1972.0,199.0,252.0,748.0,1085.0,131.0,,860.0,135.0,2155.0,1641.0,576.0,1065.0,307.0,1106.0,0.0,0.5357
44007010102,3884.0,41.5,1865.0,2019.0,3617.0,40.0,102.0,73.0,608.0,333.0,,78.0,200.0,1942.0,1670.0,1156.0,514.0,0.0,692.0,1953.0,0.4907
44007010200,6693.0,39.8,3532.0,3161.0,4048.0,638.0,1184.0,193.0,320.0,1077.0,,789.0,127.0,3445.0,2483.0,1312.0,1171.0,232.0,892.0,1945.0,0.4639
44007010300,3720.0,44.0,1819.0,1901.0,2945.0,401.0,44.0,0.0,168.0,716.0,,619.0,121.0,1905.0,1822.0,823.0,999.0,142.0,344.0,1959.0,0.5174
44007010501,5133.0,46.2,2246.0,2887.0,3932.0,598.0,300.0,154.0,308.0,641.0,,417.0,119.0,2947.0,1851.0,1341.0,510.0,143.0,775.0,1961.0,0.3678
44007010502,4888.0,40.0,2293.0,2595.0,3414.0,475.0,296.0,376.0,628.0,306.0,,338.0,231.0,2576.0,2044.0,1114.0,930.0,48.0,997.0,1961.0,0.4014
44007010600,6065.0,41.6,2940.0,3125.0,5343.0,202.0,134.0,0.0,595.0,455.0,,829.0,239.0,3194.0,2741.0,1795.0,946.0,217.0,575.0,1964.0,0.4516
44007010702,4116.0,41.4,1891.0,2225.0,3904.0,0.0,118.0,28.0,526.0,144.0,,217.0,94.0,2457.0,1718.0,1445.0,273.0,82.0,835.0,1959.0,0.3704
